uid,lat,lon,timestamp_utc,missing_time_flag,flood_depth_cm
108327,-6.13997,106.95653,2020-02-22T12:00:00,1,68.0
108328,-6.15264,106.94975,2020-02-22T12:00:00,1,79.0
108329,-6.1796,106.85447,2020-02-22T12:00:00,1,46.0
108330,-6.1471,106.92728,2020-02-22T12:00:00,1,90.0
108333,-6.19926,106.8338,2020-02-22T12:00:00,1,5.0
108334,-6.20146,106.84989,2020-02-22T12:00:00,1,4.0
108335,-6.1979,106.95075,2020-02-22T12:00:00,1,20.0
108337,-6.25704,106.9069,2020-02-22T12:00:00,1,50.0
108338,-6.19795,106.95065,2020-02-22T12:00:00,1,30.0
108339,-6.18585,106.96272,2020-02-22T12:00:00,1,50.0
108340,-6.19855,106.89614,2020-02-22T12:00:00,1,49.0
108341,-6.17812,106.85548,2020-02-22T12:00:00,1,40.0
108342,-6.21936,106.84421,2020-02-22T12:00:00,1,63.0
108343,-6.22823,106.86637,2020-02-22T12:00:00,1,37.0
108344,-6.17847,106.86467,2020-02-22T12:00:00,1,80.0
108345,-6.20003,106.86645,2020-02-22T12:00:00,1,100.0
108346,-6.2444,106.87598,2020-02-22T12:00:00,1,77.0
108347,-6.21027,106.88629,2020-02-22T12:00:00,1,67.0
108348,-6.21944,106.87495,2020-02-22T12:00:00,1,102.0
108349,-6.21868,106.88514,2020-02-22T12:00:00,1,23.0
108350,-6.19834,106.94763,2020-02-22T12:00:00,1,11.0
108351,-6.19236,106.85141,2020-02-22T12:00:00,1,39.0
108354,-6.22491,106.87581,2020-02-22T12:00:00,1,27.0
108357,-6.18679,106.85416,2020-02-22T12:00:00,1,50.0
108358,-6.2337,106.85779,2020-02-22T12:00:00,1,39.0
108359,-6.23377,106.89322,2020-02-22T12:00:00,1,49.0
108360,-6.20666,106.87997,2020-02-22T12:00:00,1,50.0
